#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
ALVG.DE,26-JUL-2001,,End Of Day,,311,318.25,305.91,317.3,1476414,,,Verified
ALVG.DE,27-JUL-2001,,End Of Day,,320,322.87,316,319,648567,,,Verified
ALVG.DE,28-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,29-JUL-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,30-JUL-2001,,End Of Day,,319,323.48,316.01,318,523999,,,Verified
ALVG.DE,31-JUL-2001,,End Of Day,,319.2,321.45,317.2,320.99,731031,,,Verified
ALVG.DE,01-AUG-2001,,End Of Day,,322.85,325.03,319.2,321.5,887873,,,Verified
ALVG.DE,02-AUG-2001,,End Of Day,,322,324.9,318,318,772317,,,Verified
ALVG.DE,03-AUG-2001,,End Of Day,,318.5,323.99,318.31,320.5,786702,,,Verified
ALVG.DE,04-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,05-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,06-AUG-2001,,End Of Day,,320,327,320,323,802048,,,Verified
ALVG.DE,07-AUG-2001,,End Of Day,,322.5,326.75,322.2,324.95,678223,,,Verified
ALVG.DE,08-AUG-2001,,End Of Day,,323.92,329.8,323.8,326,738880,,,Verified
ALVG.DE,09-AUG-2001,,End Of Day,,323.5,326.45,319.07,321.5,939064,,,Verified
ALVG.DE,10-AUG-2001,,End Of Day,,324,325.2,315.1,317.5,958553,,,Verified
ALVG.DE,11-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,12-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,13-AUG-2001,,End Of Day,,316.5,323.49,316.5,321.45,623693,,,Verified
ALVG.DE,14-AUG-2001,,End Of Day,,321.5,325.17,319.5,321.74,649969,,,Verified
ALVG.DE,15-AUG-2001,,End Of Day,,322,327.9,319.93,325,744781,,,Verified
ALVG.DE,16-AUG-2001,,End Of Day,,323.88,325.9,321,323.9,704275,,,Verified
ALVG.DE,17-AUG-2001,,End Of Day,,324.55,324.97,311.85,314.55,1190896,,,Verified
ALVG.DE,18-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,19-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,20-AUG-2001,,End Of Day,,313.6,316.83,309,313.8,787147,,,Verified
ALVG.DE,21-AUG-2001,,End Of Day,,316,317.34,310,311.5,723010,,,Verified
ALVG.DE,22-AUG-2001,,End Of Day,,309.7,315.49,308.3,309,1008387,,,Verified
ALVG.DE,23-AUG-2001,,End Of Day,,311,318.5,308.52,315,1072899,,,Verified
ALVG.DE,24-AUG-2001,,End Of Day,,316.39,321.44,316.01,317.22,668509,,,Verified
ALVG.DE,25-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,26-AUG-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,27-AUG-2001,,End Of Day,,319.6,319.6,315.89,318.6,351974,,,Verified
ALVG.DE,28-AUG-2001,,End Of Day,,317.3,319.9,309.8,311,812047,,,Verified
ALVG.DE,29-AUG-2001,,End Of Day,,310.03,315.9,309.52,313.53,916729,,,Verified
ALVG.DE,30-AUG-2001,,End Of Day,,312.06,317.02,308,308,946788,,,Verified
ALVG.DE,31-AUG-2001,,End Of Day,,308,312.2,306.85,308.3,858485,,,Verified
ALVG.DE,01-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,02-SEP-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,03-SEP-2001,,End Of Day,,309.48,309.9,299.9,302.6,902954,,,Verified
